routeframecode,extendedcode,framealtcode,latitude,longitude,framesizefamilycode,framesizename,productformatname,digital,modeltype,productformatmarketingname,revenuestreamname,channelname,visualunitcode,visualunitname,linkedassetcode,linkedassetname,geographicalareacode,geographicalareaname,geolevelname,startdate,enddate,maxstatusdate,tvareacode,tvareaname,conurbationcode,routetowncode,routetownname,districtcode,sitecode,furnitureindex,address,postcode,postalsector,businessareacode,businessareagroupcode,productformatmarketingcode,revenuestreamcode,activestatus,currentstatus,businessareaname,conurbation,extid,fsizename,productformatcode,sitenumber,medialength,dayframe
MN0259AB.CI,MN0259AB.CI,30859625,40.76301,-73.99286,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2010-05-14,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0259AB,MN0259AB,"10TH AV, BETWEEN W 47 ST & W 48 ST",10036,10036,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,9206,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN0264AB.CO,MN0264AB.CO,521307,40.783406,-73.978004,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2010-11-11,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0264AB,MN0264AB,"79 ST, BETWEEN COLUMBUS AV & AMSTERDA",10024,10024,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,9240,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN0183AB.CI,MN0183AB.CI,519952,40.770418,-73.962426,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2007-04-03,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0183AB,MN0183AB,"72 ST, BETWEEN PARK AV & LEXINGTON AV",10021,10021,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,9260,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN0263AB.CO,MN0263AB.CO,520095,40.778885,-73.981305,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2007-05-11,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0263AB,MN0263AB,"AMSTERDAM AV, BETWEEN W 72 ST & W 73 ST",10023,10023,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,9263,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN0184AB.CO,MN0184AB.CO,519955,40.760733,-73.968909,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2007-10-30,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0184AB,MN0184AB,"57 ST, B/W LEXINGTON AV & 3RD AV",10022,10022,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,9281,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN0192AB.CO,MN0192AB.CO,30616298,40.740858,-73.987684,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2011-08-12,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0192AB,MN0192AB,"23 ST, BETWEEN PARK AV & MADISON AV",10010,10010,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,9283,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN0195AB.CI,MN0195AB.CI,519976,40.751073,-73.980456,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2007-11-13,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0195AB,MN0195AB,"MADISON AV, BETWEEN E 39 ST & E 40 ST",10016,10016,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,9299,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN0203AB.CO,MN0203AB.CO,519988,40.747352,-73.98179,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2015-08-27,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0203AB,MN0203AB,"34 ST, BETWEEN PARK AV & MADISON AV",10016,10016,NYSF,NYSF,DEFAULT,NYBS,1,0,NY - Street Furniture,Non-Conurbation,9301,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN0195AB.CO,MN0195AB.CO,519977,40.751073,-73.980456,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2007-11-13,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0195AB,MN0195AB,"MADISON AV, BETWEEN E 39 ST & E 40 ST",10016,10016,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,9302,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN0205AB.CI,MN0205AB.CI,519992,40.739919,-73.985982,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2007-08-31,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0205AB,MN0205AB,"23 ST, BETWEEN PARK AV & LEXINGTON AV",10010,10010,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,9303,Default format type,NY-AB-DIG,"",10.0,2022-03-23
